fecha,bodegas Jerez,bodegas Rioja,bodegas Ribera del Duero,bodegas Rías Baixas
2025-07-13,29,52,0,0
2025-07-20,51,64,16,0
2025-07-27,44,42,0,0
2025-08-03,38,56,23,0
2025-08-10,38,67,14,0
2025-08-17,48,42,0,0
2025-08-24,34,44,16,0
2025-08-31,37,45,18,0
2025-09-07,38,56,0,0
2025-09-14,31,48,0,0
2025-09-21,46,69,24,0
2025-09-28,28,48,24,0
2025-10-05,33,65,0,0
2025-10-12,36,53,0,0
2025-10-19,33,59,22,0
2025-10-26,41,50,23,0
2025-11-02,36,49,17,0
2025-11-09,20,46,18,0
2025-11-16,40,53,20,0
2025-11-23,37,49,17,0
2025-11-30,43,66,30,0
2025-12-07,56,44,17,0
2025-12-14,39,56,21,0
2025-12-21,46,52,0,0
2025-12-28,38,55,15,0
2026-01-04,29,52,0,0
2026-01-11,29,55,29,0
2026-01-18,24,40,24,0
2026-01-25,32,49,17,0
2026-02-01,27,40,25,0
2026-02-08,21,48,22,0
2026-02-15,26,43,15,0
2026-02-22,41,48,15,0
2026-03-01,28,49,19,0
2026-03-08,32,47,13,0
2026-03-15,27,55,18,0
2026-03-22,25,70,22,0
2026-03-29,39,66,18,0
2026-04-05,37,55,0,0
2026-04-12,38,39,14,0
2026-04-19,38,47,18,0
2026-04-26,27,47,0,0
2026-05-03,27,50,16,0
2026-05-10,23,49,19,0
2026-05-17,34,59,0,0
2026-05-24,29,64,17,0
2026-05-31,33,52,0,0
2026-06-07,25,41,13,0
2026-06-14,27,36,13,0
2026-06-21,29,42,6,0
2026-06-28,25,33,8,0
2026-07-05,27,34,18,0
