categoria,nombre,localidad,url_ficha,slug
recursos-culturales,Auditorio De La Merced,Sanlúcar de Barrameda,https://rutadelvinojerez.es/empresas-y-servicios/auditorio-de-la-merced,auditorio-de-la-merced
recursos-culturales,Castillo De Chipiona,Chipiona,https://rutadelvinojerez.es/empresas-y-servicios/castillo-de-chipiona,castillo-de-chipiona
recursos-culturales,Castillo De Luna,Rota,https://rutadelvinojerez.es/empresas-y-servicios/castillo-de-luna,castillo-de-luna
recursos-culturales,Castillo De San Marcos,El Puerto de Santa María,https://rutadelvinojerez.es/empresas-y-servicios/castillo-de-san-marcos,castillo-de-san-marcos
recursos-culturales,Castillo De Sancti Petri,Chiclana de la Frontera,https://rutadelvinojerez.es/empresas-y-servicios/castillo-de-sancti-petri,castillo-de-sancti-petri
recursos-culturales,Castillo De Santiago,Sanlúcar de Barrameda,https://rutadelvinojerez.es/empresas-y-servicios/castillo-de-santiago,castillo-de-santiago
recursos-culturales,Catedral De San Salvador,Jerez de la Frontera,https://rutadelvinojerez.es/empresas-y-servicios/catedral-de-san-salvador,catedral-de-san-salvador
recursos-culturales,Circuito De Jerez Ángel Nieto,Jerez de la Frontera,https://rutadelvinojerez.es/empresas-y-servicios/circuito-de-jerez,circuito-de-jerez
recursos-culturales,Claustros De Santo Domingo,Jerez de la Frontera,https://rutadelvinojerez.es/empresas-y-servicios/claustros-de-santo-domingo,claustros-de-santo-domingo
recursos-culturales,Ermita Cristo De Las Misericordias,Chipiona,https://rutadelvinojerez.es/empresas-y-servicios/ermita-cristo-de-las-misericordias,ermita-cristo-de-las-misericordias
recursos-culturales,Ermita De Santa Ana,Chiclana de la Frontera,https://rutadelvinojerez.es/empresas-y-servicios/ermita-de-santa-ana,ermita-de-santa-ana
recursos-culturales,Faro De Chipiona,Chipiona,https://rutadelvinojerez.es/empresas-y-servicios/faro-de-chipiona,faro-de-chipiona
recursos-culturales,Iglesia Mayor Prioral,El Puerto de Santa María,https://rutadelvinojerez.es/empresas-y-servicios/iglesia-mayor-prioral,iglesia-mayor-prioral
recursos-culturales,Iglesia Nuestra Señora De La O,Rota,https://rutadelvinojerez.es/empresas-y-servicios/iglesia-nuestra-senora-de-la-o,iglesia-nuestra-senora-de-la-o
recursos-culturales,Iglesia San Juan Bautista,Chiclana de la Frontera,https://rutadelvinojerez.es/empresas-y-servicios/iglesia-san-juan-bautista,iglesia-san-juan-bautista
