resena_id,atributo,n_frases,s0,s1,s2,s3,s4,sentimiento,bodega,puntuacion
ChRDSUhNMG9nS0VJQ0FnSURLdWNkaBAB,Vino y cata,1,0.001536,0.001761,0.014355,0.196304,0.786043,4.764,Bodegas Osborne,5.0
ChRDSUhNMG9nS0VJQ0FnSURLdWNkaBAB,Visita y experiencia,1,0.001536,0.001761,0.014355,0.196304,0.786043,4.764,Bodegas Osborne,5.0
ChRDSUhNMG9nS0VJQ0FnSURRMGNkahAB,Instalaciones,2,0.002577,0.01205,0.139447,0.588775,0.257151,4.086,Bodegas González Byass – Tío Pepe,4.0
ChRDSUhNMG9nS0VJQ0FnSURRMGNkahAB,Organización y reserva,1,0.224786,0.337973,0.269486,0.113832,0.053923,2.434,Bodegas González Byass – Tío Pepe,4.0
ChRDSUhNMG9nS0VJQ0FnSURRMGNkahAB,Visita y experiencia,2,0.113175,0.170377,0.161928,0.331559,0.222961,3.381,Bodegas González Byass – Tío Pepe,4.0
ChRDSUhNMG9nS0VJQ0FnSURRNGVsNRAB,Visita y experiencia,1,0.002816,0.003775,0.059266,0.428849,0.505294,4.43,Bodegas Fundador,5.0
ChRDSUhNMG9nS0VJQ0FnSURVX2FSURAB,Vino y cata,1,0.012002,0.018456,0.074331,0.384705,0.510506,4.363,Bodegas Real Tesoro & Valdespino,5.0
ChRDSUhNMG9nS0VJQ0FnSURVX2FSURAB,Visita y experiencia,1,0.012002,0.018456,0.074331,0.384705,0.510506,4.363,Bodegas Real Tesoro & Valdespino,5.0
ChRDSUhNMG9nS0VJQ0FnSURYMVpSTRAB,Instalaciones,1,0.370071,0.273334,0.226063,0.08612,0.044413,2.161,Bodegas Rey Fernando De Castilla,5.0
ChRDSUhNMG9nS0VJQ0FnSURYMVpSTRAB,Personal y trato,1,0.088266,0.042476,0.067591,0.215655,0.586012,4.169,Bodegas Rey Fernando De Castilla,5.0
ChRDSUhNMG9nS0VJQ0FnSURYMVpSTRAB,Vino y cata,1,0.088266,0.042476,0.067591,0.215655,0.586012,4.169,Bodegas Rey Fernando De Castilla,5.0
ChRDSUhNMG9nS0VJQ0FnSURrLThKeRAB,Vino y cata,1,0.002122,0.00295,0.071186,0.476643,0.447099,4.364,Bodegas Páez Morilla,5.0
ChRDSUhNMG9nS0VJQ0FnSURua05CcxAB,Instalaciones,1,0.003712,0.004587,0.070152,0.458078,0.463472,4.373,Bodegas Tradición,5.0
ChRDSUhNMG9nS0VJQ0FnSURua05CcxAB,Personal y trato,1,0.003712,0.004587,0.070152,0.458078,0.463472,4.373,Bodegas Tradición,5.0
ChRDSUhNMG9nS0VJQ0FnSURua05CcxAB,Vino y cata,1,0.003712,0.004587,0.070152,0.458078,0.463472,4.373,Bodegas Tradición,5.0
ChRDSUhNMG9nS0VJQ0FnSURxNE1rMhAB,Instalaciones,1,0.005006,0.006971,0.11734,0.489931,0.380752,4.234,Bodegas González Byass – Tío Pepe,4.0
ChRDSUhNMG9nS0VJQ0FnTURBdDhKbRAB,Visita y experiencia,1,0.016918,0.014417,0.043795,0.251077,0.673793,4.55,Bodega Gago & Co. Barrels – Wines,5.0
